Enrichment FDR	nGenes	Pathway Genes	Fold Enrichment	Pathway	URL	Genes
0.020702644	7	139	6.738482898	GO:0051028 mRNA transport 	 http://amigo.geneontology.org/amigo/term/GO:0051028	 TPR  MCM3AP  NUP98  UPF3B  NUP214  NUP210  UPF3A
0.043689292	7	176	5.321870016	GO:0050657 nucleic acid transport 	 http://amigo.geneontology.org/amigo/term/GO:0050657	 TPR  NUP214  MCM3AP  NUP98  UPF3B  NUP210  UPF3A
0.020702644	9	241	4.996942564	GO:0015931 nucleobase-containing compound transport 	 http://amigo.geneontology.org/amigo/term/GO:0015931	 TPR  NUP214  MCM3AP  ABCC5  NUP98  UPF3B  NUP210  UPF3A  SLC33A1
0.043689292	10	354	3.779859253	GO:0006913 nucleocytoplasmic transport 	 http://amigo.geneontology.org/amigo/term/GO:0006913	 TPR  TNPO3  NUP214  MCM3AP  IPO7  NUP210  NUP98  ECT2  UPF3B  UPF3A
0.037469589	13	543	3.203482925	GO:0016570 histone modification 	 http://amigo.geneontology.org/amigo/term/GO:0016570	 TRIM37  KDM3A  RNF2  TRIP12  CXXC1  NFYA  HDAC1  MAP3K7  USP15  SETD4  RTF1  MCM3AP  PPP4R3B
0.036437857	21	1166	2.409903403	GO:0070647 protein modification by small protein conjugation or removal 	 http://amigo.geneontology.org/amigo/term/GO:0070647	 TRIM37  TRIM38  RNF2  UFC1  TRIP12  UBR1  COPS2  ARIH1  NSMCE4A  HSPBP1  USP15  RNF38  TNIP1  TTC3  HLTF  MINDY4  BIRC6  FBXW2  HECTD3  HECTD2  USP39
0.037469589	23	1375	2.238226475	GO:0018193 peptidyl-amino acid modification 	 http://amigo.geneontology.org/amigo/term/GO:0018193	 ULK2  CDC7  TTK  NKTR  DPY19L4  RPS6KB2  SETD4  NSMCE4A  CXXC1  NFYA  MARK2  CLSPN  MAP3K7  VEGFB  DVL2  MAP2K7  TRIM38  KDM3A  DPH5  RTF1  MCM3AP  DUSP22  DIP2A
0.037469589	26	1641	2.12003806	GO:0031399 reg. of protein modification proc. 	 http://amigo.geneontology.org/amigo/term/GO:0031399	 CLSPN  PPP6R3  TRIP12  VEGFB  COPS2  NFYA  DVL2  ECT2  HSPBP1  MAP3K7  TNIP1  MAP2K7  DNAJC3  KDM3A  MICAL1  RTF1  IQGAP3  PPP2R5A  DUSP22  CEP295  PPP4R3B  DIP2A  PILRB  MARK2  TTK  IPO7
0.037469589	29	1937	2.00330589	GO:0007049 cell cycle 	 http://amigo.geneontology.org/amigo/term/GO:0007049	 TPR  CLSPN  MYBL2  TRIM37  TTK  ECT2  WRAP73  PDS5A  TUBGCP6  CEP295  CEP135  KIF18B  TTI1  KIF20A  YY1AP1  LIG3  CDC7  RPL24  BIRC6  RNF2  NUP214  CHTF18  WASHC5  USP39  IQGAP3  BCL2L1  WRN  SUGT1  IPO7
0.010809302	38	2575	1.974627832	GO:0032268 reg. of cellular protein metabolic proc. 	 http://amigo.geneontology.org/amigo/term/GO:0032268	 EXOSC7  CLSPN  PPP6R3  UPF3B  HIP1  TRIP12  ARIH1  UPF3A  VEGFB  ELP2  COPS2  NFYA  DVL2  ECT2  HSPBP1  MAP3K7  TNIP1  MAP2K7  DNAJC3  KDM3A  BIRC6  DPH5  MICAL1  RTF1  SRP9  PA2G4  IQGAP3  TPR  PPP2R5A  DUSP22  CEP295  RPS6KB2  PPP4R3B  DIP2A  PILRB  MARK2  TTK  IPO7
0.000216724	57	3932	1.939725331	GO:0006464 cellular protein modification proc. 	 http://amigo.geneontology.org/amigo/term/GO:0006464	 PPP2R5A  ULK2  CLSPN  CDC7  TRIM37  PPP6R3  TRIM38  TTK  MAN2A1  NKTR  KDM3A  RNF2  UFC1  TRIP12  DPY19L4  UBR1  COPS2  ARIH1  ZDHHC16  VEGFB  RPS6KB2  SETD4  PPP4R3B  NSMCE4A  CXXC1  NFYA  DVL2  MARK2  CSF2RB  TBP  DUSP22  ECT2  HDAC1  HSPBP1  MAP3K7  USP15  RNF38  TNIP1  TTC3  HLTF  MAP2K7  DNAJC3  MINDY4  BIRC6  DPH5  FBXW2  HECTD3  MICAL1  RTF1  MCM3AP  HECTD2  USP39  IQGAP3  CEP295  DIP2A  PILRB  IPO7
